price,mini,faction
29.44,Iron Hands Primaris Upgrades and Transfers,Space_Marines
29.44,Imperial Fists Primaris Upgrades and Transfers,Space_Marines
63.48,Ghost Ark,Necrons
63.48,Doomsday Ark,
35.88,Lieutenant with Power Sword,
73.6,Vindicator,
67.62,Invictor Tactical Warsuit,Space_Marines
35.88,Cryptek,Necrons
44.16,Canoptek Spyder,Necrons
55.2,Daemonifuge – Ephrael Stern & Kyganil,
44.16,Fabius Bile,
59.8,Serberys Sulphurhounds,
59.8,Pteraxii Sterylizors,
112.24,Archaeopter Stratoraptor,
112.24,Archaeopter Fusilave,
59.8,Serberys Raiders,
59.8,Pteraxii Skystalkers,
112.24,Archaeopter Transvector,
40.02,Tech-Priest Manipulus,
59.8,Zephyrim Squad,
59.8,Seraphim Squad,Adepta_Sororitas
59.8,Rhino,Adepta_Sororitas
55.2,Repentia Squad,
40.02,Canoness,Adepta_Sororitas
77.28,Immolator,
40.02,Dialogus,
32.2,Imagifier,Adepta_Sororitas
57.5,Incubi,Drukhari
44.16,Drazhar,Drukhari
55.2,Talons of the Emperor  Valerian and Aleya,Adeptus_Custodes
57.5,Howling Banshees,
44.16,Jain Zar,
59.8,Mortifiers,
55.2,Commander Shadowsun,Tau_Empire
32.2,Kelermorph,Genestealer_Cult
55.2,Arco-flagellants,
55.2,Junith Eruita,
84.64,Exorcist,Adepta_Sororitas
59.8,Retributor Squad,Adepta_Sororitas
112.24,The Triumph of Saint Katherine,Adepta_Sororitas
59.8,Battle Sisters Squad,Adepta_Sororitas
59.8,Winged Hive Tyrant,Tyranids
32.2,Spiritseer,
77.28,Skorpius Dunerider,Adeptus_Mechanicus
35.88,Sister Superior Amalia Novena,Adepta_Sororitas
69.0,Mechanicum Knight Moirax with Lightning Locks,Imperial_Knights
77.28,Skorpius Disintegrator,Adeptus_Mechanicus
607.2,Acastus Knight Asterius,Imperial_Knights
156.4,Shalaxi Helbane,
156.4,Keeper of Secrets,Chaos_Daemons
55.2,Syll'Esske  The Vengeful Allegiance,Chaos_Daemons
55.2,The Contorted Epitome,
44.16,Infernal Enrapturess,
55.2,Fiends,
35.88,The Masque,
40.02,Dark Apostle,
32.2,Master of Executions,
81.88,Maulerfiend,
59.8,Chaos Terminator Squad,Chaos_Space_Marines
59.8,Havocs,
40.02,Skulltaker,
48.76,Skull Altar,
63.48,Noctilith Crown,
67.62,Abaddon the Despoiler,
55.2,Chaos Rhino,Space_Marines
81.88,Heldrake,
81.88,Forgefiend,
55.2,Achilles Ridgerunner,
44.16,Aberrants,
32.2,Abominant,Chaos_Knights
32.2,Biophagus,
59.8,Atalan Jackals,
44.16,Jackal Alphus,
32.2,Nexos,
32.2,Locus,
32.2,Sanctus,
32.2,Magus,Genestealer_Cult
32.2,Clamavus,
55.2,Shokkjump Dragsta,
55.2,Kustom Boosta-blasta,
40.02,"Haarken Worldclaimer, Herald of the Apocalypse",
55.2,Rukkatrukk Squigbuggy,
55.2,Megatrakk Scrapjet,
55.2,Deffkilla Wartrike,
55.2,Boomdakka Snazzwagon,
55.2,Ork Warbiker Mob,Orks
38.64,Ork Stormboyz,Orks
38.64,Ork Nobz,Orks
24.84,Ork Gretchin,Orks
44.16,Ork Boyz,Orks
29.44,Ork Mek,Orks
32.2,Ork Painboy,Orks
59.8,Sector Mechanicus Sacristan Forgeshrine,
59.8,Raider,Drukhari
44.16,Pink Horrors,
35.88,Eisenhorn,Inquisition
59.8,Talos,Drukhari
59.8,Cronos,Drukhari
60.72,Legio Custodes Shield Captain,Adeptus_Custodes
59.8,Kataphron Destroyers,Adeptus_Mechanicus
59.8,Kataphron Breachers,Adeptus_Mechanicus
59.8,Shield-Captain on Dawneagle Jetbike,
59.8,Custodian Wardens Vexilus Praetor,Adeptus_Custodes
59.8,Custodian Wardens Shield-Captain,Adeptus_Custodes
59.8,Vertus Praetors,
59.8,Custodian Wardens,Adeptus_Custodes
13.8,Tzaangor Upgrade Pack,
59.8,Custodian Guard,Adeptus_Custodes
59.8,Vexilus Praetor,Adeptus_Custodes
59.8,Shield-Captain,
30.82,Sly Marbo,
59.8,XV88 Broadside Battlesuit,Tau_Empire
55.2,Shield-Captain in Allarus Terminator Armour,Adeptus_Custodes
55.2,Vexilus Praetor in Allarus Terminator Armour,Adeptus_Custodes
156.4,Rotigus,
48.76,Feculent Gnarlmaw,Chaos_Daemons
59.8,Horticulous Slimux,
156.4,Great Unclean One,Chaos_Daemons
55.2,Beast of Nurgle,Death_Guard
44.16,Captain-General Trajann Valoris,Adeptus_Custodes
55.2,Allarus Custodians,Adeptus_Custodes
59.8,"Celestine, the Living Saint",Adepta_Sororitas
35.88,Cypher,
55.2,Skitarii Rangers,
55.2,Skitarii Vanguard,Space_Marines
44.16,Dire Avengers,
40.02,Bloodletters,
97.52,Old One Eye's Carnifex Brood,Tyranids
59.8,Ironstrider Ballistarius,Adeptus_Mechanicus
59.8,Sydonian Dragoon,Adeptus_Mechanicus
55.2,Windriders,
40.02,Warlock Skyrunner,Craftworlds
40.02,Farseer Skyrunner,Craftworlds
97.52,Screamer-Killer Brood,Chaos_Daemons
26.68,Legio Custodes Telemon Dreadnought Iliastus Accelerator Culverin,Adeptus_Custodes
35.88,Eldrad Ulthran,
112.24,XV104 Riptide Battlesuit,Tau_Empire
55.2,Brotherhood Terminator Squad,Grey_Knights
55.2,Paladins,Grey_Knights
59.8,Plague Drones,Death_Guard
78.2,Kastelan Robots,Adeptus_Mechanicus
44.16,Pathfinder Team,Tau_Empire
44.16,Kabalite Warriors,Drukhari
88.32,Hemlock Wraithfighter,
88.32,Crimson Hunter,
44.16,Militarum Tempestus Scions Command Squad,Astra_Militarum
59.8,Wraithblades,
59.8,T'au Empire Commander,Tau_Empire
40.02,Venom,Drukhari
59.8,Tyranid Warriors,Tyranids
44.16,Tempestus Scions,Astra_Militarum
59.8,Wraithguard,Craftworlds
32.2,Cadre Fireblade,
29.44,Haemonculus,Drukhari
156.4,Wraithknight,Craftworlds
32.2,Interrogator-Chaplain,Dark_Angels
59.8,Intercessor Squad,Space_Marines
59.8,Hellblaster Squad,Space_Marines
59.8,Belisarius Cawl,Adeptus_Mechanicus
35.88,Nurglings,
44.16,Harlequin Troupe,Harlequins
59.8,Wraithlord,Craftworlds
63.48,Strike Squad,Grey_Knights
38.64,Grand Master Voldus,
95.68,Legio Custodes Aquilon Terminators with Infernus Firepikes,Adeptus_Custodes
95.68,Legio Custodes Aquilon Terminators,Adeptus_Custodes
40.02,Plaguebearers,
94.76,Legio Custodes Telemon Heavy Dreadnought Body,Adeptus_Custodes
26.68,Legio Custodes Telemon Arachnus Storm Cannon,Adeptus_Custodes
26.68,Legio Custodes Telemon Caestus,Adeptus_Custodes
874.0,Legion Thunderhawk Gunship,Tau_Empire
44.62,Gargoyle Brood,
69.0,Legio Custodes Gyrfalcon Pattern Jetbike,Adeptus_Custodes
55.2,Vigilator Squad,
55.2,Prosecutor Squad,
55.2,Witchseeker Squad,
35.88,Screamers,
35.88,Flamers,
44.16,Blue Horrors and Brimstone Horrors,
117.76,Legio Custodes Pallas Grav-attack,Adeptus_Custodes
55.2,Tzaangors,
55.2,Tzaangor Enlightened,
35.88,Tzaangor Shaman,
88.32,Trygon,Tyranids
59.8,Exalted Sorcerers,Chaos_Daemons
59.8,Scarab Occult Terminators,
161.0,"Magnus the Red, Daemon Primarch of Tzeentch",Chaos_Daemons
44.16,Ahriman,
59.8,Rubric Marines,Thousand_Sons
67.62,Broodcoven,
44.16,Hybrid Metamorphs,
55.2,Neophyte Hybrids,Genestealer_Cult
44.16,Acolyte Hybrids,Genestealer_Cult
114.08,KX139 Ta’unar Supremacy Armour Heavy Rail Cannon Array,
114.08,KX139 Ta'unar Nexus Missile System,
44.16,Broodlord,
82.8,Burna-Bommer,Orks
82.8,Blitza-Bommer,
82.8,Dakkajet,
82.8,Wazbom Blastajet,
44.16,Skull Cannon,
59.8,Dominion Squad,Adepta_Sororitas
63.48,Tidewall Droneport,
78.2,Tidewall Shieldline,
81.88,XV8 Crisis Battlesuit Team,Tau_Empire
18.4,Tactical Drones,Space_Marines
179.4,KV128 Stormsurge,
58.88,KX139 Ta'unar Supremacy Armour Fusion Eradicator,
114.08,KX139 Ta'unar Supremacy Armour Pulse Ordnance Multi-driver,
58.88,KX139 Ta'unar Supremacy Armour Tri-axis Ion Cannon,
248.4,KX139 Ta'unar Supremacy Armour Body,
,Mars Pattern Warlord Titan Body,Imperial_Knights
55.2,Corpuscarii Electro-Priests,
40.02,Tech-Priest Dominus,
30.82,Autarch Wayleaper,
44.16,"Rendmaster, Herald of Khorne on Blood Throne",Chaos_Daemons
156.4,Bloodthirster,Chaos_Daemons
101.2,Bloodcrushers,
156.4,Skarbrand,Chaos_Daemons
44.16,Voidweaver,Harlequins
230.0,Questoris Knight Styrix,Imperial_Knights
81.88,Maleceptor,
75.44,Sporocyst and Mucolid Spore,
75.44,Zoanthropes,
55.2,Fulgurite Electro-Priests,
77.28,Onager Dunecrawler,Adeptus_Mechanicus
29.44,Succubus,Drukhari
639.4,Mars Pattern Warhound Titan Body,Imperial_Knights
32.2,Librarian in Terminator Armour,Blood_Angels
55.2,Skyweavers,
88.32,Voidraven Bomber,
32.2,Shadowseer,Harlequins
32.2,Death Jester,Harlequins
44.16,Starweaver,Harlequins
,Mars Pattern Reaver Titan Body,Drukhari
30.82,Solitaire,Harlequins
81.88,Toxicrene,
75.44,Tyrannocyte,
75.44,Venomthropes,
55.2,Mek Gunz  Traktor Kannon,Orks
40.02,Big Mek with Shokk Attack Gun,Orks
55.2,Mek Gunz  Kustom Mega-kannon,Orks
55.2,Mek Gunz  Smasha Gun,Orks
55.2,Mek Gunz  Bubblechukka,Orks
138.0,Morkanaut,
138.0,Gorkanaut,
59.8,Nork Deddog,
59.8,Ogryns,
63.48,Wyvern,
59.8,Bullgryns,
63.48,Hydra,
59.8,Helbrute,
81.88,Exocrine,
78.2,Tyrant Guard,
84.64,Hive Crone,
97.52,Carnifex Brood,Tyranids
81.88,Haruspex,Tyranids
78.2,Hive Guard,Tyranids
84.64,Tyranid Harpy,Tyranids
75.44,Soul Grinder,
32.2,Seekers of Slaanesh,
32.2,Seeker Chariot,
181.24,Obelisk & Transcendent C'tan,Necrons
181.24,Khorne Lord of Skulls,Necrons
181.24,Tesseract Vault,
32.2,Farseer,Craftworlds
81.88,AX3 Razorshark Strike Fighter,
73.6,TX78 Sky Ray Gunship,Tau_Empire
88.32,Mutalith Vortex Beast,Thousand_Sons
81.88,AX39 Sun Shark Bomber,
73.6,Hammerhead Gunship,Tau_Empire
75.44,Ravenwing Darkshroud,Dark_Angels
81.88,Nephilim Jetfighter,
75.44,Land Speeder Vengeance,
81.88,Ravenwing Dark Talon,Dark_Angels
88.32,Mawloc,
59.8,The Swarmlord,Tyranids
63.48,Tervigon,Tyranids
63.48,Deathstrike,
35.88,Catachan Jungle Fighters,
88.32,Valkyrie,
138.0,Stompa,
59.8,Devilfish,Tau_Empire
68.08,Whirlwind,Space_Marines
63.48,Tyrannofex,
30.82,Trazyn the Infinite,
15.87,Tank Accessories,Astra_Militarum
59.8,Razorwing Jetfighter,
35.88,Scourges,
48.76,Firesight Team,
55.2,Sammael,
30.82,Weirdboy,Orks
73.6,Chaos Vindicator,Chaos_Daemons
73.6,Chaos Predator,Space_Marines
88.32,Chaos Land Raider,Drukhari
40.02,Piranha,Tau_Empire
55.2,Trukk,Orks
44.16,Catachan Heavy Weapons Squad,
55.2,Ravenwing Bike Squadron,Dark_Angels
86.48,Captain Titus and The Wardens of Ultramar,
59.8,Wulfen Dreadnought,Space_Wolves
43.24,Ancient in Terminator Armour,Chaos_Space_Marines
63.48,Terminator Assault Squad,Space_Marines
59.8,Suboden Khan,
36.8,Archon,Drukhari
51.06,Traitor Enforcer,
63.48,Legionaries,
48.76,Traitor Guardsmen Squad,
32.2,Ultramarines Upgrades and Transfers,Supplement_Marines
44.16,Cato Sicarius,
43.24,Caanok Var,
40.02,Captain with Jump Pack and Relic Shield,
55.2,Wracks,
44.16,Lady Malys,
47.84,Sekhetar Robots,
75.44,Grand Master in Nemesis Dreadknight,Grey_Knights
43.24,Aethon Shaan,
43.24,Darnath Lysander,
63.48,Kommandos,
58.88,Sisters Novitiate Squad,Adepta_Sororitas
40.02,Slaughterbound,
40.02,Lord of Poxes,Necrons
43.24,Vulkan He'stan,
58.88,Kapricus Defender/Carrier,
55.2,Cthonian Earthshakers,
40.02,Buri Aegnirssen,
55.2,Ironkin Steeljacks,
36.8,Arkanyst Evaluator,
36.8,Memnyr Strategist,
40.02,Crusade Ancient,
38.64,Execrator,
138.0,Spearhead  Blades of Khorne – Fangs of the Blood God,Chaos_Daemons
78.2,Drop Pods,
38.64,Wolf Priest,Space_Wolves
40.02,Wolf Guard Battle Leader,Space_Wolves
59.8,Blood Claws,
43.24,Arjac Rockfist,
63.48,Wolf Guard Terminators,Space_Wolves
43.24,Njal Stormcaller,
63.48,Wolf Guard Headtakers,Space_Wolves
59.8,Grey Hunters,
67.62,Logan Grimnar,
178.48,Knight Questoris,Imperial_Knights
184.0,Knight Ruinator,Imperial_Knights
64.4,Tormentors,
63.48,Noise Marines,
40.02,Lord Exultant,Necrons
44.16,Lucius the Eternal,
55.2,Flawless Blades,
161.0,Fulgrim – Daemon Primarch of Slaanesh,Chaos_Daemons
38.64,Lord Kakophonist,Necrons
59.8,Artillery Team,
48.76,Krieg Heavy Weapons Squad,Astra_Militarum
59.8,Death Riders,
48.76,Death Korps of Krieg,Astra_Militarum
44.16,Krieg Command Squad,Astra_Militarum
55.2,Lord Marshal Dreir,Necrons
44.16,Fuegan,
44.16,Baharroth,
44.16,Lhykhis,
44.16,Asurmen,
57.5,Swooping Hawks,
57.5,Fire Dragons,
57.5,Warp Spiders,
63.48,Wave Serpent/Falcon,Craftworlds
78.2,War Walkers,
36.8,Battlefield Trophies,
44.16,Inquisitor Coteaz,Inquisition
40.02,Chaos Lord with Jump Pack,Necrons
32.2,Upgrades and Transfers,Blood_Angels
43.24,Astorath the Grim,
43.24,The Sanguinor,
43.24,Lemartes,Blood_Angels
55.2,Sanguinary Guard,
40.02,Captain,Blood_Angels
43.24,Canoness with Jump Pack,Adepta_Sororitas
32.2,Benefictus,
32.2,Ministorum Priest,
32.2,Navigator,
36.8,Watch Captain Artemis,
33.58,Callidus Assassin,Imperial_Assassins
38.64,Vindicare Assassin,Imperial_Assassins
38.64,Culexus Assassin,Imperial_Assassins
38.64,Eversor Assassin,Imperial_Assassins
32.2,Inquisitor Greyfax,Inquisition
35.88,Lord Inquisitor Kyria Draxus,Inquisition
59.8,Rogue Trader Entourage and Voidsmen-at-Arms,
55.2,Inquisitorial Agents,
48.76,Big Mek,Orks
40.02,Shield-Captain,
32.2,Ministorum Priest with Vindictor,
32.2,Cultist Firebrand,Genestealer_Cult
55.2,Kroot Lone-spear,
40.02,Kroot Hounds,
32.2,Kroot Trail Shaper,
32.2,Kroot Flesh Shaper,
35.88,Kroot War Shaper,
44.16,Krootox Rider,
59.8,Krootox Rampagers,
55.2,Kroot Carnivores,
43.24,"Belial, Grand Master of The Deathwing",Dark_Angels
64.4,Deathwing Knights,Dark_Angels
43.24,"Asmodai, Master of Repentance",
55.2,Inner Circle Companions,Dark_Angels
104.88,Heroes of the Chapter,
43.24,Captain in Terminator Armour,Chaos_Space_Marines
67.62,Ballistus Dreadnought,
104.88,Horrors of the Hive,
40.02,Tyranid Prime,Tyranids
55.2,Psychophage,
40.02,Neurogaunts,
48.76,Von Ryan's Leapers,
32.2,Black Templars  Upgrades and Transfers,Supplement_Marines
35.88,Master of Possession,
38.64,Sydonian Skatros,Adeptus_Mechanicus
35.88,Royal Warden,Imperial_Knights
44.16,Orikan the Diviner,
44.16,Imotekh the Stormlord,
197.8,Cerastus Knight Acheron,Imperial_Knights
197.8,Cerastus Knight Castigator,Imperial_Knights
48.76,Hormagaunts,
40.02,Neurolictor,
48.76,Lictor,Tyranids
55.2,Genestealers,Genestealer_Cult
59.8,Deathleaper,
44.16,Termagants,
48.76,Pyrovore,
48.76,Biovore,
112.24,Norn Assimilator,
112.24,Norn Emissary,
43.24,Chaplain in Terminator Armour,Chaos_Space_Marines
55.2,Assault Intercessors with Jump Packs,Space_Marines
59.8,Sternguard Veteran Squad,Space_Marines
63.48,Terminator Squad,Chaos_Space_Marines
40.02,Captain with Jump Pack,
63.48,Company Heroes,
55.2,Desolation Squad,
78.2,Brutalis Dreadnought,
35.88,Space Marines  Lieutenant,Space_Marines
202.4,"Warhammer 40,000 Combat Patrol Starter Set",
138.0,Vanguard Task Force,Space_Marines
40.02,Captain with Relic Shield,
35.88,Lieutenant with Storm Shield,
18.4,"Getting Started with Warhammer 40,000",
63.48,"Warhammer 40,000 Introductory Set",
104.88,"Warhammer 40,000 Starter Set",
32.2,Tyranids  Termagants and Ripper Swarm + Paints Set,Tyranids
32.2,Space Marines  Infernus Marines + Paints Set,Space_Marines
197.8,Cerastus Knight Lancer,Imperial_Knights
