mini,base_mm2,cost
Wolf Lord On Thunderwolf,60mm,
Ragnar Blackmane,40mm,100.0
Krom Dragongaze,32mm,
Harald Deathwolf,60mm,
Canis Wolfborn,60mm,
Njal Stormcaller,40mm,85.0
Ulrik The Slayer,32mm,70.0
Wolf Guard Battle Leader In Terminator Armour,40mm,
Wolf Guard Battle Leader On Thunderwolf,60mm,
Bjorn The Fell-handed,60mm,170.0
Blood Claws,32mm,135.0
Blood Claws,32mm,285.0
Lukas The Trickster,32mm,
Grey Hunters,32mm,180.0
Iron Priest,32mm,60.0
Iron Priest On Thunderwolf,60mm,95.0
Wolf Scouts,28.5mm,
Wulfen,40mm,85.0
Wulfen,40mm,170.0
Murderfang,60mm,160.0
Wolf Guard,32mm,
Arjac Rockfist,50mm,105.0
Wolf Guard Terminators,40mm,170.0
Wolf Guard Terminators,40mm,340.0
Stormwolf,120 x 92mm flying base,
Thunderwolf Cavalry,60mm,115.0
Thunderwolf Cavalry,60mm,230.0
Fenrisian Wolves,40mm,40.0
Fenrisian Wolves,40mm,80.0
Skyclaws,32mm,
Stormfang Gunship,120 x 92mm flying base,
Long Fangs,32mm,
Corvus Blackstar,120 x 92mm flying base,180.0
Kaldor Draigo,40mm,
Grand Master Voldus,40mm,110.0
Grand Master,40mm,95.0
Brother-captain,40mm,90.0
Brother-captain Stern,40mm,
Brotherhood Champion,32mm,70.0
Castellan Crowe,40mm,90.0
Strike Squad,32mm,120.0
Strike Squad,32mm,240.0
Brotherhood Terminator Squad,40mm,160.0
Brotherhood Terminator Squad,40mm,200.0
Brotherhood Terminator Squad,40mm,320.0
Brotherhood Terminator Squad,40mm,400.0
Purifier Squad,32mm,125.0
Purifier Squad,32mm,250.0
Paladin Squad,40mm,180.0
Paladin Squad,40mm,225.0
Paladin Squad,40mm,360.0
Paladin Squad,40mm,450.0
Interceptor Squad,32mm,130.0
Interceptor Squad,32mm,260.0
Purgation Squad,32mm,125.0
Purgation Squad,32mm,250.0
Nemesis Dreadknight,120 x 92mm,210.0
Grey Knights Dreadnought,60mm,160.0
Land Raider,Use model,220.0
Land Raider Crusader,Use model,220.0
Land Raider Redeemer,Use model,270.0
Razorback,Use model,85.0
Rhino,Use model,80.0
Servitors,25mm,
Stormraven Gunship,120 x 92mm flying base,280.0
Brotherhood Techmarine,32mm,70.0
Venerable Dreadnought,60mm,140.0
Commander In Coldstar Battlesuit,60mm,95.0
Tactical Drones,32mm flying base,70.0
Tactical Drones,32mm flying base,140.0
Tactical Drones,32mm flying base,210.0
Ethereal,40mm,50.0
Cadre Fireblade,25mm,50.0
Commander Farsight,60mm,85.0
Commander Shadowsun,50mm,100.0
Aun'shi,25mm,50.0
AUN'VA,40mm,65.0
ETHEREAL GUARD,25mm,65.0
Darkstrider,32mm,60.0
Strike Team,25mm,75.0
Breacher Team,25mm,100.0
Kroot Carnivores,28.5mm,65.0
Kroot Carnivores,28.5mm,140.0
Krootox Riders,50mm,40.0
Krootox Riders,50mm,60.0
Krootox Riders,50mm,90.0
Kroot Hounds,28.5mm,40.0
Kroot Hounds,28.5mm,80.0
Stealth Battlesuits,32mm,80.0
Stealth Battlesuits,32mm,120.0
Crisis Battlesuits,50mm,200.0
Crisis Battlesuits,50mm,400.0
Ghostkeel Battlesuit,105 x 70mm,160.0
Riptide Battlesuit,120 x 92mm,190.0
Pathfinder Team,25mm,90.0
Piranha,60mm flying base,60.0
Piranha,60mm flying base,120.0
Piranha,60mm flying base,180.0
Devilfish,60mm flying base,85.0
Razorshark Strike Fighter,120 x 92mm flying base,170.0
Sun Shark Bomber,120 x 92mm flying base,160.0
Vespid Stingwings,28.5mm,65.0
Vespid Stingwings,28.5mm,130.0
Firesight Team,40mm,60.0
Sky Ray Gunship,60mm flying base,140.0
Longstrike,60mm flying base,140.0
Hammerhead Gunship,60mm flying base,145.0
Broadside Battlesuits,60mm,80.0
Broadside Battlesuits,60mm,170.0
Broadside Battlesuits,60mm,270.0
Stormsurge,170 x 109mm,400.0
Tidewall Droneport,Use model,85.0
Tidewall Shieldline,Use model,85.0
Tidewall Shieldline,Use model,20.0
Tidewall Gunrig,Use model,90.0
Shas'o R'alai,65mm,80.0
Xv9 Hazard Battlesuits,60mm,55.0
Xv9 Hazard Battlesuits,60mm,110.0
Y'vahra Battlesuit,120 x 92mm,210.0
R'varna Battlesuit,120 x 92mm,200.0
Ta'unar Supremacy Armour,160mm,790.0
Tetras,60mm flying base,80.0
Tetras,60mm flying base,160.0
Tx42 Piranha,60mm flying base,60.0
Heavy Gun Drones,32mm flying base,45.0
Remora Stealth Drones,60mm flying base,160.0
Barracuda,120 x 92mm flying base,220.0
Tiger Shark,160mm,325.0
Ax-1-0 Tiger Shark,160mm,315.0
Orca Dropship,Use model,275.0
Manta,Use model,2100.0
Remote Sensor Tower,Use model,50.0
Drone Sentry Turret,Use model,50.0
Hive Tyrant,60mm,195.0
The Swarmlord,60mm,220.0
Old One Eye,105 x 70mm,150.0
Broodlord,75 x 42mm,80.0
Tervigon,120 x 92mm,160.0
Genestealers,32mm,75.0
Genestealers,32mm,140.0
Termagants,28.5mm,60.0
Termagants,28.5mm,120.0
Hormagaunts,28.5mm,65.0
Hormagaunts,28.5mm,130.0
Ripper Swarms,40mm,25.0
Ripper Swarms,40mm,40.0
Ripper Swarms,40mm,50.0
Tyrant Guard,50mm,80.0
Tyrant Guard,50mm,160.0
Hive Guard,50mm,90.0
Hive Guard,50mm,180.0
Lictor,50mm,60.0
Maleceptor,120 x 92mm,170.0
Zoanthropes,40mm,100.0
Zoanthropes,40mm,200.0
Venomthropes,40mm,70.0
Venomthropes,40mm,140.0
Pyrovores,80mm,40.0
Pyrovores,80mm,70.0
Pyrovores,80mm,105.0
Haruspex,120 x 92mm,125.0
Deathleaper,60mm,80.0
Raveners,40mm,75.0
Raveners,40mm,150.0
Sky-slasher Swarms,40mm,60.0
Gargoyles,32mm flying base,85.0
Gargoyles,32mm flying base,170.0
Harpy,120 x 92mm flying base,215.0
Hive Crone,120 x 92mm flying base,200.0
Mucolid Spores,40mm,30.0
Mucolid Spores,40mm,60.0
Spore Mines,25mm,55.0
Spore Mines,25mm,110.0
Tyrannocyte,100mm,105.0
Carnifexes,105 x 70mm,115.0
Carnifexes,105 x 70mm,230.0
Biovores,80mm,50.0
Biovores,80mm,100.0
Biovores,80mm,150.0
Trygon,120 x 92mm,140.0
Mawloc,120 x 92mm,135.0
Exocrine,120 x 92mm,140.0
Tyrannofex,120 x 92mm,200.0
Toxicrene,120 x 92mm,150.0
Sporocyst,100mm,145.0
Malanthrope,60mm,75.0
Dimachaeron,120 x 92mm,200.0
Barbed Hierodule,127mm,340.0
Harridan,120 x 92mm flying base,610.0
Hierophant,Use model,810.0
Scythed Hierodule,127mm,330.0
Patriarch,50mm,75.0
Magus,32mm,50.0
Primus,32mm,70.0
Acolyte Iconward,32mm,50.0
Acolyte Hybrids,32mm,65.0
Acolyte Hybrids,32mm,130.0
Neophyte Hybrids,25mm,65.0
Neophyte Hybrids,25mm,145.0
Hybrid Metamorphs,32mm,70.0
Hybrid Metamorphs,32mm,140.0
Aberrants,32mm,135.0
Aberrants,32mm,300.0
Purestrain Genestealers,32mm,75.0
Purestrain Genestealers,32mm,140.0
Goliath Truck,Use model,85.0
Goliath Rockgrinder,Use model,120.0
Imotekh The Stormlord,40mm,100.0
Overlord,40mm,85.0
Lord,32mm,65.0
Nemesor Zahndrekh,25mm,85.0
Vargard Obyron,25mm,85.0
Orikan The Diviner,40mm,80.0
Anrakyr The Traveller,25mm,95.0
Trazyn The Infinite,25mm,75.0
Catacomb Command Barge,Use model,120.0
Necron Warriors,32mm,90.0
Necron Warriors,32mm,200.0
Immortals,32mm,70.0
Immortals,32mm,150.0
Lychguard,32mm,85.0
Lychguard,32mm,170.0
Deathmarks,32mm,60.0
Deathmarks,32mm,120.0
Flayed Ones,28.5mm,60.0
Flayed Ones,28.5mm,120.0
Triarch Praetorians,32mm,90.0
Triarch Praetorians,32mm,180.0
Triarch Stalker,Use model,110.0
C'tan Shard of the Nightbringer,90mm,305.0
C'tan Shard of the Deceiver,40mm,265.0
Ghost Ark,60mm,115.0
Night Scythe,120 x 92mm flying base,145.0
Doom Scythe,120 x 92mm flying base,230.0
Canoptek Wraiths,50mm,110.0
Canoptek Wraiths,50mm,220.0
Tomb Blades,32mm flying base,75.0
Tomb Blades,32mm flying base,150.0
Canoptek Spyders,60mm flying base,75.0
Canoptek Spyders,60mm flying base,150.0
Monolith,160mm,400.0
Annihilation Barge,Use model,105.0
Doomsday Ark,60mm flying base,200.0
Transcendent C'tan,60mm flying base,295.0
Tesseract Vault,120 x 92mm flying base,425.0
Obelisk,120 x 92mm flying base,300.0
Canoptek Tomb Stalker,120 x 92mm,130.0
Canoptek Acanthrites,40mm,85.0
Canoptek Acanthrites,40mm,170.0
Canoptek Tomb Sentinel,120 x 92mm,115.0
Night Shroud,120 x 92mm flying base,140.0
Sentry Pylon,Use model,120.0
Tesseract Ark,60mm,130.0
Gauss Pylon,Use model,210.0
Eldrad Ulthran,32mm,110.0
Prince Yriel,40mm,100.0
Illic Nightspear,25mm,70.0
Asurmen,40mm,125.0
Jain Zar,40mm,105.0
Karandras,25mm,90.0
Fuegan,40mm,120.0
Baharroth,40mm,115.0
Maugan Ra,40mm,100.0
Autarch,32mm,85.0
Autarch Skyrunner,32mm flying base,90.0
Avatar of Khaine,80mm,280.0
Farseer,25mm,70.0
Farseer Skyrunner,32mm flying base,80.0
Warlock Conclave,32mm,55.0
Warlock Conclave,32mm,130.0
Warlock,32mm,45.0
Warlock Skyrunner,32mm flying base,45.0
Warlock Skyrunner,32mm flying base,90.0
Spiritseer,25mm,65.0
GUARDIAN DEFENDER,28.5mm,100.0
HEAVY WEAPON PLATFORM,40mm,100.0
STORM GUARDIAN,28.5mm,100.0
SERPENT'S SCALE PLATFORM,40mm,100.0
Windriders,32mm flying base,80.0
Windriders,32mm flying base,160.0
Rangers,28.5mm,55.0
Rangers,28.5mm,110.0
DIRE AVENGER,28.5mm,75.0
DIRE AVENGER,28.5mm,150.0
DIRE AVENGER EXARCH,28.5mm,75.0
DIRE AVENGER EXARCH,28.5mm,150.0
HOWLING BANSHEE,28.5mm,95.0
HOWLING BANSHEE,28.5mm,190.0
HOWLING BANSHEE EXARCH,28.5mm,95.0
HOWLING BANSHEE EXARCH,28.5mm,190.0
STRIKING SCORPION,28.5mm,85.0
STRIKING SCORPION,28.5mm,150.0
STRIKING SCORPION EXARCH,28.5mm,85.0
STRIKING SCORPION EXARCH,28.5mm,150.0
FIRE DRAGON,28.5mm,120.0
FIRE DRAGON,28.5mm,220.0
FIRE DRAGON EXARCH,28.5mm,120.0
FIRE DRAGON EXARCH,28.5mm,220.0
Wraithguard,40mm,170.0
Wraithblades,40mm,160.0
Wave Serpent,60mm flying base,125.0
SWOOPING HAWK,32mm,85.0
SWOOPING HAWK,32mm,190.0
SWOOPING HAWK EXARCH,32mm,85.0
SWOOPING HAWK EXARCH,32mm,190.0
WARP SPIDER,28.5mm,95.0
WARP SPIDER,28.5mm,190.0
WARP SPIDER EXARCH,28.5mm,95.0
WARP SPIDER EXARCH,28.5mm,190.0
SHINING SPEAR,60mm flying base,110.0
SHINING SPEAR,60mm flying base,220.0
SHINING SPEAR EXARCH,60mm flying base,110.0
SHINING SPEAR EXARCH,60mm flying base,220.0
Crimson Hunter,120 x 92mm flying base,160.0
Vypers,105 x 70mm,65.0
Vypers,105 x 70mm,130.0
Hemlock Wraithfighter,120 x 92mm flying base,155.0
DARK REAPER,28.5mm,90.0
DARK REAPER,28.5mm,195.0
DARK REAPER EXARCH,28.5mm,90.0
DARK REAPER EXARCH,28.5mm,195.0
Falcon,60mm flying base,130.0
Fire Prism,60mm flying base,150.0
Night Spinner,60mm flying base,190.0
War Walkers,60mm,85.0
War Walkers,60mm,170.0
Wraithlord,60mm,140.0
Wraithknight,120 x 92mm,435.0
SHADOW SPECTRE,25mm,115.0
SHADOW SPECTRE,25mm,230.0
SHADOW SPECTRE,25mm,30.0
SHADOW SPECTRE EXARCH,25mm,115.0
SHADOW SPECTRE EXARCH,25mm,230.0
SHADOW SPECTRE EXARCH,25mm,30.0
Wasp Assault Walker,60mm,95.0
Wraithseer,60mm,160.0
Hornet,60mm,100.0
Warp Hunter,Use model,145.0
Lynx,Use model,180.0
Scorpion,Use model,410.0
Cobra,Use model,415.0
Nightwing,120 x 92mm flying base,150.0
Phoenix,120 x 92mm flying base,175.0
Vampire Raider,170 x 109mm flying base,430.0
Vampire Hunter,170 x 109mm flying base,460.0
Skathach Wraithknight,120 x 92mm,490.0
Revenant Titan,Use model,1100.0
Corsair Cloud Dancer Band,32mm flying base,105.0
Corsair Cloud Dancer Band,32mm flying base,140.0
Corsair Cloud Dancer Band,32mm flying base,210.0
Corsair Cloud Dancer Band,32mm flying base,245.0
Irillyth,25mm,105.0
Phantom Titan,Use model,2100.0
Corsair Reaver Band,25mm,125.0
Corsair Reaver Band,25mm,150.0
Corsair Reaver Band,25mm,250.0
Corsair Reaver Band,25mm,275.0
Corsair Skyreaver Band,25mm,125.0
Corsair Skyreaver Band,25mm,150.0
Corsair Skyreaver Band,25mm,250.0
Corsair Skyreaver Band,25mm,275.0
Archon,32mm,85.0
Succubus,25mm,45.0
Lelith Hesperax,32mm,95.0
Haemonculus,25mm,60.0
Urien Rakarth,25mm,80.0
Drazhar,40mm,85.0
Kabalite Warriors,25mm,100.0
Wyches,25mm,80.0
INCUBI,28.5mm,85.0
INCUBI,28.5mm,170.0
KLAIVEX,28.5mm,85.0
KLAIVEX,28.5mm,170.0
Mandrakes,28.5mm,65.0
Mandrakes,28.5mm,120.0
Wracks,25mm,55.0
Wracks,25mm,110.0
Grotesques,40mm,80.0
Grotesques,40mm,170.0
BEASTMASTER,32mm flying base,120.0
CLAWED FIEND,40mm,120.0
KHYMERAE,40mm,120.0
RAZORWING FLOCK,40mm,120.0
Raider,60mm flying base,75.0
Venom,60mm flying base,65.0
Reavers,32mm flying base,65.0
Reavers,32mm flying base,120.0
Hellions,32mm flying base,75.0
Hellions,32mm flying base,150.0
Razorwing Jetfighter,120 x 92mm flying base,170.0
Voidraven Bomber,120 x 92mm flying base,235.0
Scourges,32mm,130.0
Scourges,32mm,180.0
Talos,60mm flying base,80.0
Talos,60mm flying base,160.0
Cronos,60mm flying base,50.0
Cronos,60mm flying base,85.0
Ravager,60mm flying base,100.0
Reaper,Use model,95.0
Tantalus,Use model,230.0
Leman Russ Commander,Use model,235.0
Heavy Weapons Squad,50mm,65.0
Scout Sentinels,80mm,55.0
Scout Sentinels,80mm,110.0
Armoured Sentinels,80mm,65.0
Armoured Sentinels,80mm,130.0
Chimera,Use model,85.0
Taurox,Use model,75.0
Hellhound,Use model,125.0
Basilisk,Use model,140.0
Hydra,Use model,95.0
Wyvern,Use model,110.0
Manticore,Use model,165.0
Deathstrike,Use model,145.0
Leman Russ Battle Tank,Use model,185.0
Leman Russ Demolisher,Use model,190.0
Baneblade,Use model,450.0
Banehammer,Use model,420.0
Banesword,Use model,450.0
Doomhammer,Use model,415.0
Hellhammer,Use model,420.0
Shadowsword,Use model,410.0
Stormlord,Use model,430.0
Stormsword,Use model,465.0
‘Iron Hand' Straken,25mm,55.0
Sergeant Harker,25mm,40.0
Commissar,28.5mm,30.0
TEMPESTUS SCION,25mm,85.0
TEMPESTOR PRIME,25mm,85.0
Taurox Prime,Use model,90.0
Ogryn Squad,40mm,60.0
Ogryn Squad,40mm,130.0
Bullgryn Squad,40mm,100.0
Bullgryn Squad,40mm,200.0
Ratlings,25mm,60.0
Ratlings,25mm,100.0
Nork Deddog,40mm,60.0
Valkyrie,120 x 92mm flying base,190.0
Atlas Recovery Vehicle,Use model,80.0
Salamander Command Vehicle,Use model,80.0
Hades Breaching Drill,Use model,110.0
Centaur Light Carrier,Use model,40.0
Trojan Support Vehicle,Use model,80.0
Salamander Scout Vehicle,Use model,95.0
Tauros Assault Vehicle,Use model,50.0
Tauros Venator,Use model,55.0
Armageddon-pattern Medusa,Use model,105.0
Colossus,Use model,160.0
Cyclops Demolition Vehicle,Use model,25.0
Earthshaker Carriage Battery,Use model,120.0
Griffon Mortar Carrier,Use model,115.0
Heavy Mortar Team,Use model,50.0
Heavy Quad Launcher Team,Use model,50.0
Hydra Platform,Use model,95.0
Malcador Annihilator,Use model,270.0
Malcador Defender,Use model,310.0
Malcador,Use model,250.0
Malcador Infernus,Use model,235.0
Manticore Platform,Use model,95.0
Medusa Carriage Battery,Use model,125.0
Rapier Laser Destroyer Battery,Use model,35.0
Rapier Laser Destroyer Battery,Use model,70.0
Rapier Laser Destroyer Battery,Use model,105.0
Sabre Weapons Battery,Use model,45.0
Sabre Weapons Battery,Use model,90.0
Sentinel Powerlifter,Use model,55.0
Stygies Destroyer Tank Hunter,Use model,180.0
Tarantula Battery,Use model,40.0
Tarantula Battery,Use model,80.0
Tarantula Battery,Use model,120.0
Stormblade,Use model,415.0
Arkurian Stormhammer,Use model,480.0
Crassus,Use model,180.0
Dominus Armoured Siege Bombard,Use model,325.0
Gorgon Heavy Transport,Use model,275.0
Macharius,Use model,310.0
Macharius Omega,Use model,310.0
Macharius Vanquisher,Use model,285.0
Macharius Vulcan,Use model,310.0
Marauder Bomber,Use model,345.0
Marauder Destroyer,Use model,375.0
Minotaur,Use model,225.0
Praetor,Use model,275.0
Valdor,Use model,285.0
Aquila Lander,120 x 92mm flying base,120.0
Arvus Lighter,120 x 92mm flying base,95.0
Avenger Strike Fighter,120 x 92mm flying base,130.0
Voss-pattern Lightning,120 x 92mm flying base,130.0
Vendetta Gunship,120 x 92mm flying base,255.0
Vulture Gunship,120 x 92mm flying base,225.0
Imperial Fortress Walls,Use model,
Primaris Redoubt,Use model,220.0
Belisarius Cawl,105 x 70mm,175.0
Tech-priest Dominus,50mm,65.0
Tech-priest Enginseer,32mm,55.0
Kataphron Breachers,60mm,160.0
Kataphron Breachers,60mm,320.0
Kataphron Destroyers,60mm,105.0
Kataphron Destroyers,60mm,210.0
Fulgurite Electro-priests,32mm,70.0
Fulgurite Electro-priests,32mm,140.0
Corpuscarii Electro-priests,32mm,65.0
Corpuscarii Electro-priests,32mm,130.0
Kastelan Robots,60mm,180.0
Kastelan Robots,60mm,360.0
Cybernetica Datasmith,32mm,35.0
Servitors,25mm,50.0
Skitarii Rangers,25mm,85.0
Skitarii Vanguard,25mm,95.0
Sicarian Infiltrators,40mm,70.0
Sicarian Infiltrators,40mm,140.0
Sicarian Ruststalkers,40mm,75.0
Sicarian Ruststalkers,40mm,150.0
Ironstrider Ballistarii,105 x 70mm,75.0
Ironstrider Ballistarii,105 x 70mm,150.0
Ironstrider Ballistarii,105 x 70mm,225.0
Sydonian Dragoons,105 x 70mm,65.0
Sydonian Dragoons,105 x 70mm,130.0
Sydonian Dragoons,105 x 70mm,195.0
Onager Dunecrawler,130mm,155.0
Knight Paladin,170 x 109mm,375.0
Knight Errant,170 x 109mm,375.0
Knight Warden,170 x 109mm,385.0
Knight Gallant,170 x 109mm,375.0
Knight Crusader,170 x 109mm,395.0
Acastus Knight Porphyrion,Use model,700.0
Cerastus Knight Acheron,170 x 109mm,395.0
Cerastus Knight Atrapos,170 x 109mm,405.0
Cerastus Knight Castigator,170 x 109mm,395.0
Cerastus Knight Lancer,170 x 109mm,395.0
Questoris Knight Magaera,170 x 109mm,385.0
Questoris Knight Styrix,170 x 109mm,385.0
Warhound Titan,Use model,1100.0
Reaver Titan,Use model,2200.0
Warlord Titan,Use model,3500.0
Vindicare Assassin,32mm,110.0
Vindicare Assassin,32mm,125.0
Callidus Assassin,32mm,100.0
Eversor Assassin,32mm,110.0
Eversor Assassin,32mm,120.0
Culexus Assassin,32mm,85.0
Inquisitor Greyfax,32mm,65.0
Inquisitor Karamazov,60mm,140.0
Inquisitor Coteaz,40mm,75.0
Inquisitor Coteaz,40mm,95.0
Inquisitor,32mm,55.0
Custodian Guard,40mm,160.0
Custodian Guard,40mm,200.0
Venerable Contemptor Dreadnought,60mm,170.0
Venerable Land Raider,Use model,220.0
Primaris Psyker,32mm,60.0
Crusaders,25mm,40.0
Crusaders,25mm,80.0
Death Cult Assassins,25mm,55.0
Death Cult Assassins,25mm,110.0
Arco-flagellants,25mm,45.0
Arco-flagellants,25mm,140.0
Penitent Engines,50mm,75.0
Penitent Engines,50mm,150.0
CELESTINE,40mm,150.0
GEMINAE SUPERIA,32mm,150.0
Canoness,32mm,50.0
