mini,base_mm2,cost,faction,price,price_old
Ultramarines Honour Guard,32mm,155.0,Supplement_Marines,55.2,55.2
Carab Culln The Risen,80mm,250.0,Chaos_Space_Marines,55.2,55.2
Hammerfall Bunker,Use model,175.0,Space_Marines,56.12,56.12
Tarantula Sentry Battery,Use model,30.0,Necrons,48.76,48.76
Tarantula Sentry Battery,Use model,60.0,Necrons,48.76,48.76
Tarantula Sentry Battery,Use model,90.0,Necrons,48.76,48.76
Tarantula Air Defence Battery,Use model,70.0,Space_Marines,54.28,54.28
Eradicator Squad,40mm,100.0,Space_Marines,63.48,63.48
Eradicator Squad,40mm,200.0,Space_Marines,63.48,63.48
Relic Terminator Squad,40mm,200.0,Chaos_Space_Marines,63.48,63.48
Relic Terminator Squad,40mm,400.0,Chaos_Space_Marines,63.48,63.48
Javelin Attack Speeder,60mm flying base,110.0,Space_Marines,54.28,54.28
Rapier Carrier,Use model,100.0,Space_Marines,54.28,54.28
Mortis Dreadnought,60mm,130.0,Space_Marines,78.2,78.2
Chaplain With Jump Pack,32mm,75.0,Blood_Angels,33.12,33.12
Storm Eagle Gunship,120 x 92mm flying base,255.0,Space_Wolves,75.44,75.44
Storm Speeder Hammerstrike,90mm,125.0,Space_Marines,75.44,75.44
Chaplain In Terminator Armour,40mm,75.0,Chaos_Space_Marines,43.24,43.24
SPACE MARINE BIKE,75 x 25mm,80.0,Chaos_Space_Marines,55.2,55.2
SPACE MARINE BIKE,75 x 25mm,160.0,Chaos_Space_Marines,55.2,55.2
SPACE MARINE BIKE,75 x 25mm,55.0,Chaos_Space_Marines,55.2,55.2
ATTACK BIKE,Use model,80.0,Space_Marines,32.2,32.2
ATTACK BIKE,Use model,160.0,Space_Marines,32.2,32.2
ATTACK BIKE,Use model,55.0,Space_Marines,32.2,32.2
Dreadnought,60mm,135.0,Space_Marines,54.28,54.28
Dreadnought,60mm,135.0,Grey_Knights,56.12,56.12
Terminator Assault Squad,40mm,180.0,Space_Marines,51.52,51.52
Terminator Assault Squad,40mm,360.0,Space_Marines,51.52,51.52
Librarian In Phobos Armour,40mm,70.0,Space_Marines,35.88,35.88
Venerable Dreadnought,60mm,165.0,Space_Marines,55.2,55.2
Venerable Dreadnought,60mm,165.0,Space_Marines,53.36,53.36
Venerable Dreadnought,60mm,165.0,Grey_Knights,55.2,55.2
Venerable Dreadnought,60mm,165.0,Grey_Knights,53.36,53.36
Uriel Ventris,40mm,95.0,Drukhari,55.2,55.2
Dreadnought Drop Pod,Use model,75.0,Space_Marines,54.28,54.28
Sicaran Punisher,Use model,220.0,Adeptus_Mechanicus,59.8,59.8
Storm Speeder Hailstrike,90mm,115.0,Space_Marines,75.44,75.44
Inceptor Squad,40mm,120.0,Space_Marines,55.2,55.2
Inceptor Squad,40mm,240.0,Space_Marines,55.2,55.2
Infernus Squad,32mm,90.0,Space_Marines,54.28,54.28
Infernus Squad,32mm,180.0,Space_Marines,54.28,54.28
Iron Father Feirros,40mm,95.0,Space_Marines,43.24,43.24
Infiltrator Squad,32mm,100.0,Grey_Knights,59.8,59.8
Infiltrator Squad,32mm,200.0,Grey_Knights,59.8,59.8
Razorback,Use model,95.0,Space_Marines,42.32,42.32
Razorback,Use model,95.0,Grey_Knights,42.32,42.32
Leviathan Dreadnought,80mm,215.0,Blood_Angels,40.02,40.02
Land Speeder Storm,60mm flying base,70.0,Space_Marines,34.04,34.04
Astartes Servitors,25mm,55.0,Adeptus_Mechanicus,59.8,59.8
Captain In Terminator Armour,50mm,95.0,Chaos_Space_Marines,43.24,43.24
Brutalis Dreadnought,90mm,160.0,Space_Marines,78.2,78.2
Scout Bike Squad,75 x 25mm,75.0,Space_Marines,54.28,54.28
Scout Bike Squad,75 x 25mm,150.0,Space_Marines,54.28,54.28
Roboute Guilliman,60mm,340.0,Space_Marines,56.12,56.12
Thunderhawk Gunship,120 x 92mm flying base,840.0,Imperial_Knights,874.0,874.0
Techmarine,40mm,55.0,Space_Marines,40.02,40.02
Techmarine,40mm,55.0,Grey_Knights,40.02,40.02
Hunter,Use model,100.0,Space_Marines,54.28,54.28
Vanguard Veteran Squad With Jump Packs,32mm,95.0,Space_Marines,54.28,54.28
Vanguard Veteran Squad With Jump Packs,32mm,190.0,Space_Marines,54.28,54.28
Imperial Space Marine,32mm,40.0,Space_Marines,54.28,54.28
Commander Dante,50mm,120.0,Blood_Angels,44.16,44.16
Captain Tycho,25mm,75.0,Blood_Angels,40.02,40.02
Tycho The Lost,25mm,90.0,Space_Marines,54.28,54.28
Librarian Dreadnought,60mm,170.0,Blood_Angels,40.02,40.02
Chief Librarian Mephiston,40mm,120.0,Blood_Angels,40.02,40.02
The Sanguinor,40mm,140.0,Blood_Angels,43.24,43.24
Astorath,40mm,95.0,Blood_Angels,40.02,40.02
Sanguinary Priest,40mm,75.0,Blood_Angels,31.28,31.28
Sanguinary Priest On Bike,75 x 25mm,135.0,Blood_Angels,31.28,31.28
Brother Corbulo,25mm,75.0,Blood_Angels,40.02,40.02
Lemartes,40mm,100.0,Blood_Angels,43.24,43.24
Sanguinary Guard,40mm,125.0,Blood_Angels,45.08,45.08
Sanguinary Guard,40mm,260.0,Blood_Angels,45.08,45.08
Death Company Dreadnought,90mm,160.0,Blood_Angels,40.02,40.02
Furioso Dreadnought,60mm,150.0,Blood_Angels,55.2,55.2
Baal Predator,Use model,125.0,Blood_Angels,73.6,73.6
Gabriel Seth,25mm,90.0,Blood_Angels,40.02,40.02
Azrael,50mm,115.0,Dark_Angels,59.8,59.8
Belial,50mm,85.0,Dark_Angels,59.8,59.8
Asmodai,50mm,70.0,Dark_Angels,59.8,59.8
Ezekiel,25mm,75.0,Dark_Angels,59.8,59.8
Deathwing Terminator Squad,40mm,180.0,Dark_Angels,59.8,59.8
Deathwing Terminator Squad,40mm,360.0,Dark_Angels,59.8,59.8
Deathwing Knights,40mm,250.0,Dark_Angels,64.4,64.4
Deathwing Knights,40mm,250.0,Dark_Angels,64.4,64.4
Ravenwing Darkshroud,60mm flying base,100.0,Dark_Angels,75.44,75.44
Nephilim Jetfighter,120 x 92mm flying base,195.0,Dark_Angels,81.88,81.88
Ravenwing Dark Talon,120 x 92mm flying base,210.0,Dark_Angels,81.88,81.88
Ravenwing Black Knights,75 x 42mm,90.0,Dark_Angels,59.8,59.8
Ravenwing Black Knights,75 x 42mm,180.0,Dark_Angels,59.8,59.8
Land Speeder Vengeance,60mm flying base,120.0,Dark_Angels,75.44,75.44
Fortress Of Redemption,Use model,480.0,Space_Marines,54.28,54.28
Logan Grimnar,80mm,110.0,Space_Wolves,67.62,67.62
Logan Grimnar On Stormrider,120 x 92mm,,Space_Wolves,54.739999999999995,54.739999999999995
Wolf Lord On Thunderwolf,60mm,,Necrons,48.76,48.76
Ragnar Blackmane,40mm,100.0,Space_Wolves,37.72,37.72
Krom Dragongaze,32mm,,Craftworlds,52.900000000000006,52.900000000000006
Harald Deathwolf,60mm,,Space_Wolves,54.739999999999995,54.739999999999995
Canis Wolfborn,60mm,,Space_Wolves,54.739999999999995,54.739999999999995
Njal Stormcaller,40mm,85.0,Space_Wolves,43.24,43.24
Ulrik The Slayer,32mm,70.0,Space_Wolves,30.36,30.36
Wolf Guard Battle Leader In Terminator Armour,40mm,,Space_Wolves,54.739999999999995,54.739999999999995
Wolf Guard Battle Leader On Thunderwolf,60mm,,Space_Wolves,54.739999999999995,54.739999999999995
Bjorn The Fell-handed,60mm,170.0,Space_Wolves,59.8,59.8
Blood Claws,32mm,135.0,Space_Wolves,59.8,59.8
Blood Claws,32mm,285.0,Space_Wolves,59.8,59.8
Lukas The Trickster,32mm,,Space_Wolves,54.739999999999995,54.739999999999995
Grey Hunters,32mm,180.0,Space_Wolves,45.08,45.08
Iron Priest,32mm,60.0,Space_Wolves,30.36,30.36
Iron Priest On Thunderwolf,60mm,95.0,Space_Wolves,54.739999999999995,54.739999999999995
Wolf Scouts,28.5mm,,Space_Marines,54.28,54.28
Wulfen,40mm,85.0,Space_Wolves,56.12,56.12
Wulfen,40mm,170.0,Space_Wolves,56.12,56.12
Murderfang,60mm,160.0,Space_Wolves,59.8,59.8
Wolf Guard,32mm,,Space_Wolves,54.739999999999995,54.739999999999995
Arjac Rockfist,50mm,105.0,Space_Wolves,43.24,43.24
Wolf Guard Terminators,40mm,170.0,Space_Wolves,50.6,50.6
Wolf Guard Terminators,40mm,340.0,Space_Wolves,50.6,50.6
Stormwolf,120 x 92mm flying base,,Space_Wolves,54.739999999999995,54.739999999999995
Thunderwolf Cavalry,60mm,115.0,Space_Wolves,53.36,53.36
Thunderwolf Cavalry,60mm,230.0,Space_Wolves,53.36,53.36
Fenrisian Wolves,40mm,40.0,Space_Wolves,33.12,33.12
Fenrisian Wolves,40mm,80.0,Space_Wolves,33.12,33.12
Skyclaws,32mm,,Space_Wolves,54.739999999999995,54.739999999999995
Stormfang Gunship,120 x 92mm flying base,,Space_Wolves,75.44,75.44
Long Fangs,32mm,,Space_Wolves,54.739999999999995,54.739999999999995
Corvus Blackstar,120 x 92mm flying base,180.0,Deathwatch,74.52,74.52
Kaldor Draigo,40mm,,Grey_Knights,56.12,56.12
Grand Master Voldus,40mm,110.0,Grey_Knights,34.04,34.04
Grand Master,40mm,95.0,Grey_Knights,56.12,56.12
Brother-captain,40mm,90.0,Grey_Knights,56.12,56.12
Brother-captain Stern,40mm,,Grey_Knights,56.12,56.12
Brotherhood Champion,32mm,70.0,Grey_Knights,56.12,56.12
Castellan Crowe,40mm,90.0,Grey_Knights,44.16,44.16
Castellan Crowe,40mm,90.0,Grey_Knights,44.16,44.16
Strike Squad,32mm,120.0,Grey_Knights,56.12,56.12
Strike Squad,32mm,240.0,Grey_Knights,56.12,56.12
Brotherhood Terminator Squad,40mm,160.0,Grey_Knights,55.2,55.2
Brotherhood Terminator Squad,40mm,200.0,Grey_Knights,55.2,55.2
Brotherhood Terminator Squad,40mm,320.0,Grey_Knights,55.2,55.2
Brotherhood Terminator Squad,40mm,400.0,Grey_Knights,55.2,55.2
Purifier Squad,32mm,125.0,Grey_Knights,63.48,63.48
Purifier Squad,32mm,250.0,Grey_Knights,63.48,63.48
Paladin Squad,40mm,180.0,Grey_Knights,50.6,50.6
Paladin Squad,40mm,225.0,Grey_Knights,50.6,50.6
Paladin Squad,40mm,360.0,Grey_Knights,50.6,50.6
Paladin Squad,40mm,450.0,Grey_Knights,50.6,50.6
Interceptor Squad,32mm,130.0,Grey_Knights,63.48,63.48
Interceptor Squad,32mm,260.0,Grey_Knights,63.48,63.48
Purgation Squad,32mm,125.0,Grey_Knights,63.48,63.48
Purgation Squad,32mm,250.0,Grey_Knights,63.48,63.48
Nemesis Dreadknight,120 x 92mm,210.0,Grey_Knights,56.12,56.12
Grey Knights Dreadnought,60mm,160.0,Imperial_Knights,179.4,179.4
Land Raider,Use model,220.0,Space_Marines,88.32,88.32
Land Raider,Use model,220.0,Grey_Knights,88.32,88.32
Land Raider,Use model,220.0,Adeptus_Custodes,88.32,88.32
Land Raider Crusader,Use model,220.0,Space_Marines,105.8,105.8
Land Raider Crusader,Use model,220.0,Grey_Knights,105.8,105.8
Land Raider Redeemer,Use model,270.0,Space_Marines,105.8,105.8
Land Raider Redeemer,Use model,270.0,Grey_Knights,105.8,105.8
Razorback,Use model,85.0,Space_Marines,42.32,42.32
Razorback,Use model,85.0,Grey_Knights,42.32,42.32
Rhino,Use model,80.0,Space_Marines,41.4,41.4
Rhino,Use model,80.0,Space_Marines,56.12,56.12
Rhino,Use model,80.0,Space_Marines,41.4,41.4
Rhino,Use model,80.0,Space_Marines,56.12,56.12
Rhino,Use model,80.0,Grey_Knights,41.4,41.4
Rhino,Use model,80.0,Grey_Knights,56.12,56.12
Rhino,Use model,80.0,Grey_Knights,41.4,41.4
Rhino,Use model,80.0,Grey_Knights,56.12,56.12
Rhino,Use model,80.0,Adepta_Sororitas,41.4,41.4
Rhino,Use model,80.0,Adepta_Sororitas,56.12,56.12
Rhino,Use model,80.0,Adepta_Sororitas,41.4,41.4
Rhino,Use model,80.0,Adepta_Sororitas,56.12,56.12
Rhino,Use model,80.0,Adepta_Sororitas,41.4,41.4
Rhino,Use model,80.0,Adepta_Sororitas,56.12,56.12
Rhino,Use model,80.0,Adepta_Sororitas,41.4,41.4
Rhino,Use model,80.0,Adepta_Sororitas,56.12,56.12
Rhino,Use model,80.0,Chaos_Space_Marines,41.4,41.4
Rhino,Use model,80.0,Chaos_Space_Marines,56.12,56.12
Rhino,Use model,80.0,Chaos_Space_Marines,41.4,41.4
Rhino,Use model,80.0,Chaos_Space_Marines,56.12,56.12
Rhino,Use model,80.0,Death_Guard,41.4,41.4
Rhino,Use model,80.0,Death_Guard,56.12,56.12
Rhino,Use model,80.0,Death_Guard,41.4,41.4
Rhino,Use model,80.0,Death_Guard,56.12,56.12
Servitors,25mm,,Chaos_Space_Marines,55.2,55.2
Stormraven Gunship,120 x 92mm flying base,280.0,Space_Marines,98.44,98.44
Stormraven Gunship,120 x 92mm flying base,280.0,Grey_Knights,98.44,98.44
Brotherhood Techmarine,32mm,70.0,Grey_Knights,56.12,56.12
Venerable Dreadnought,60mm,140.0,Space_Marines,55.2,55.2
Venerable Dreadnought,60mm,140.0,Space_Marines,53.36,53.36
Venerable Dreadnought,60mm,140.0,Grey_Knights,55.2,55.2
Venerable Dreadnought,60mm,140.0,Grey_Knights,53.36,53.36
Commander In Coldstar Battlesuit,60mm,95.0,Tau_Empire,55.2,55.2
Tactical Drones,32mm flying base,70.0,Tau_Empire,18.4,18.4
Tactical Drones,32mm flying base,140.0,Tau_Empire,18.4,18.4
Tactical Drones,32mm flying base,210.0,Tau_Empire,18.4,18.4
Ethereal,40mm,50.0,Tau_Empire,32.2,32.2
Ethereal,40mm,50.0,Tau_Empire,32.2,32.2
Cadre Fireblade,25mm,50.0,Tau_Empire,32.2,32.2
Commander Farsight,60mm,85.0,Tau_Empire,63.48,63.48
Commander Shadowsun,50mm,100.0,Tau_Empire,55.2,55.2
Aun'shi,25mm,50.0,Tau_Empire,55.2,55.2
AUN'VA,40mm,65.0,Tau_Empire,55.2,55.2
ETHEREAL GUARD,25mm,65.0,Tau_Empire,55.2,55.2
Darkstrider,32mm,60.0,Tau_Empire,35.88,35.88
Darkstrider,32mm,60.0,Tau_Empire,35.88,35.88
Strike Team,25mm,75.0,Grey_Knights,56.12,56.12
Breacher Team,25mm,100.0,Adepta_Sororitas,56.12,56.12
Kroot Carnivores,28.5mm,65.0,Tau_Empire,55.2,55.2
Kroot Carnivores,28.5mm,140.0,Tau_Empire,55.2,55.2
Krootox Riders,50mm,40.0,Space_Marines,44.16,44.16
Krootox Riders,50mm,60.0,Space_Marines,44.16,44.16
Krootox Riders,50mm,90.0,Space_Marines,44.16,44.16
Kroot Hounds,28.5mm,40.0,Tau_Empire,40.02,40.02
Kroot Hounds,28.5mm,80.0,Tau_Empire,40.02,40.02
Stealth Battlesuits,32mm,80.0,Tau_Empire,32.2,32.2
Stealth Battlesuits,32mm,120.0,Tau_Empire,32.2,32.2
Crisis Battlesuits,50mm,200.0,Tau_Empire,69.92,69.92
Crisis Battlesuits,50mm,400.0,Tau_Empire,69.92,69.92
Ghostkeel Battlesuit,105 x 70mm,160.0,Tau_Empire,88.32,88.32
Riptide Battlesuit,120 x 92mm,190.0,Tau_Empire,112.24,112.24
Pathfinder Team,25mm,90.0,Tau_Empire,35.88,35.88
Piranha,60mm flying base,60.0,Tau_Empire,40.02,40.02
Piranha,60mm flying base,120.0,Tau_Empire,40.02,40.02
Piranha,60mm flying base,180.0,Tau_Empire,40.02,40.02
Devilfish,60mm flying base,85.0,Tau_Empire,59.8,59.8
Razorshark Strike Fighter,120 x 92mm flying base,170.0,Drukhari,81.88,81.88
Sun Shark Bomber,120 x 92mm flying base,160.0,Tau_Empire,81.88,81.88
Vespid Stingwings,28.5mm,65.0,Tau_Empire,55.2,55.2
Vespid Stingwings,28.5mm,130.0,Tau_Empire,55.2,55.2
Firesight Team,40mm,60.0,Deathwatch,48.76,48.76
Sky Ray Gunship,60mm flying base,140.0,Tau_Empire,73.6,73.6
Longstrike,60mm flying base,140.0,Tau_Empire,55.2,55.2
Hammerhead Gunship,60mm flying base,145.0,Tau_Empire,73.6,73.6
Broadside Battlesuits,60mm,80.0,Tau_Empire,59.8,59.8
Broadside Battlesuits,60mm,170.0,Tau_Empire,59.8,59.8
Broadside Battlesuits,60mm,270.0,Tau_Empire,59.8,59.8
Stormsurge,170 x 109mm,400.0,Astra_Militarum,55.2,55.2
Tidewall Droneport,Use model,85.0,Tau_Empire,63.48,63.48
Tidewall Shieldline,Use model,85.0,Tau_Empire,60.72,60.72
Tidewall Shieldline,Use model,20.0,Tau_Empire,60.72,60.72
Tidewall Gunrig,Use model,90.0,Orks,55.2,55.2
Shas'o R'alai,65mm,80.0,Tau_Empire,55.2,55.2
Xv9 Hazard Battlesuits,60mm,55.0,Tau_Empire,55.2,55.2
Xv9 Hazard Battlesuits,60mm,110.0,Tau_Empire,55.2,55.2
Y'vahra Battlesuit,120 x 92mm,210.0,Tau_Empire,55.2,55.2
R'varna Battlesuit,120 x 92mm,200.0,Tau_Empire,55.2,55.2
Ta'unar Supremacy Armour,160mm,790.0,Tau_Empire,248.4,248.4
Tetras,60mm flying base,80.0,Tau_Empire,55.2,55.2
Tetras,60mm flying base,160.0,Tau_Empire,55.2,55.2
Tx42 Piranha,60mm flying base,60.0,Tau_Empire,34.04,34.04
Heavy Gun Drones,32mm flying base,45.0,Death_Guard,55.2,55.2
Remora Stealth Drones,60mm flying base,160.0,Tau_Empire,55.2,55.2
Barracuda,120 x 92mm flying base,220.0,Tau_Empire,55.2,55.2
Tiger Shark,160mm,325.0,Tau_Empire,55.2,55.2
Ax-1-0 Tiger Shark,160mm,315.0,Tau_Empire,55.2,55.2
Orca Dropship,Use model,275.0,Space_Marines,54.28,54.28
Manta,Use model,2100.0,Tau_Empire,55.2,55.2
Remote Sensor Tower,Use model,50.0,Tau_Empire,55.2,55.2
Drone Sentry Turret,Use model,50.0,Tau_Empire,55.2,55.2
Hive Tyrant,60mm,195.0,Tyranids,56.12,56.12
The Swarmlord,60mm,220.0,Tyranids,59.8,59.8
Old One Eye,105 x 70mm,150.0,Tyranids,57.5,57.5
Broodlord,75 x 42mm,80.0,Tyranids,37.72,37.72
Tervigon,120 x 92mm,160.0,Tyranids,63.48,63.48
Genestealers,32mm,75.0,Genestealer_Cult,55.2,55.2
Genestealers,32mm,140.0,Genestealer_Cult,55.2,55.2
Termagants,28.5mm,60.0,Tyranids,44.16,44.16
Termagants,28.5mm,120.0,Tyranids,44.16,44.16
Hormagaunts,28.5mm,65.0,Tyranids,48.76,48.76
Hormagaunts,28.5mm,130.0,Tyranids,48.76,48.76
Ripper Swarms,40mm,25.0,Tyranids,57.5,57.5
Ripper Swarms,40mm,40.0,Tyranids,57.5,57.5
Ripper Swarms,40mm,50.0,Tyranids,57.5,57.5
Tyrant Guard,50mm,80.0,Tyranids,78.2,78.2
Tyrant Guard,50mm,160.0,Tyranids,78.2,78.2
Hive Guard,50mm,90.0,Tyranids,78.2,78.2
Hive Guard,50mm,180.0,Tyranids,78.2,78.2
Lictor,50mm,60.0,Tyranids,48.76,48.76
Maleceptor,120 x 92mm,170.0,Tyranids,81.88,81.88
Zoanthropes,40mm,100.0,Tyranids,75.44,75.44
Zoanthropes,40mm,200.0,Tyranids,75.44,75.44
Venomthropes,40mm,70.0,Tyranids,61.64,61.64
Venomthropes,40mm,140.0,Tyranids,61.64,61.64
Pyrovores,80mm,40.0,Tyranids,48.76,48.76
Pyrovores,80mm,70.0,Tyranids,48.76,48.76
Pyrovores,80mm,105.0,Tyranids,48.76,48.76
Haruspex,120 x 92mm,125.0,Tyranids,81.88,81.88
Deathleaper,60mm,80.0,Tyranids,59.8,59.8
Raveners,40mm,75.0,Tyranids,57.5,57.5
Raveners,40mm,150.0,Tyranids,57.5,57.5
Sky-slasher Swarms,40mm,60.0,Tyranids,57.5,57.5
Gargoyles,32mm flying base,85.0,Tyranids,57.5,57.5
Gargoyles,32mm flying base,170.0,Tyranids,57.5,57.5
Harpy,120 x 92mm flying base,215.0,Tyranids,74.52,74.52
Hive Crone,120 x 92mm flying base,200.0,Tyranids,84.64,84.64
Mucolid Spores,40mm,30.0,Tyranids,57.5,57.5
Mucolid Spores,40mm,60.0,Tyranids,57.5,57.5
Spore Mines,25mm,55.0,Chaos_Space_Marines,55.2,55.2
Spore Mines,25mm,110.0,Chaos_Space_Marines,55.2,55.2
Tyrannocyte,100mm,105.0,Tyranids,60.72,60.72
Carnifexes,105 x 70mm,115.0,Tyranids,57.5,57.5
Carnifexes,105 x 70mm,230.0,Tyranids,57.5,57.5
Biovores,80mm,50.0,Tyranids,48.76,48.76
